metric,condition,n,mean,sd,median,min,max,ci_low,ci_high
participant_hit_rate_pct,auditory,11,90.9090909090909,7.687061147858075,90,75,100,85.74485296123989,96.07332885694193
participant_hit_rate_pct,visual,13,92.6923076923077,5.63300712149108,95,85,100,89.28831555678268,96.09629982783271
participant_mean_rt_ms,auditory,11,321.2295653907496,124.60966330134387,287.10526315789474,171.44444444444446,541.2,237.51565450699826,404.94347627450094
participant_mean_rt_ms,visual, 13,339.36235479346936,120.08523132757034,302.8235294117647,206.8823529411765,608.4,266.7955757684236,411.92913381851514
