metric,Cohens_d,CI,CI_low,CI_high
participant_mean_rt_ms,-0.14843163505864723,0.95,-0.9508876756046784,0.6573679883068626
participant_hit_rate_pct,-0.26832072983932037,0.95,-1.072122146505789,0.541486130462111
